Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
NASSAU,NY,"127,355.00","39,080.00","88,275.00","29,400.00","18,700.00","10,700.00"
KINGS,NY,"85,473.00","67,748.00","17,725.00",0.00,0.00,0.00
NASSAU,NY,"412,335.00","345,660.00","66,675.00","113,500.00","101,000.00","12,500.00"
NEW YORK,NY,"6,200.00",0.00,"6,200.00",0.00,0.00,0.00
KINGS,NY,"36,225.00",0.00,"36,225.00","29,300.00",0.00,"29,300.00"
NEW YORK,NY,"1,830.00","1,830.00",0.00,0.00,0.00,0.00
KINGS,NY,"17,975.00",0.00,"17,975.00",0.00,0.00,0.00
ROCKLAND,NY,"544,972.00","498,897.00","46,075.00","12,900.00","7,400.00","5,500.00"
SULLIVAN,NY,"151,702.00","143,352.00","8,350.00","96,500.00","88,100.00","8,400.00"
SUFFOLK,NY,"6,011,029.00","4,811,886.00","1,199,143.00","3,041,400.00","2,381,800.00","659,600.00"
SUFFOLK,NY,"28,007.00","21,257.00","6,750.00",0.00,0.00,0.00
QUEENS,NY,"131,152.00","86,852.00","44,300.00","13,600.00",0.00,"13,600.00"
QUEENS,NY,"107,561.00","63,561.00","44,000.00",0.00,0.00,0.00
QUEENS,NY,"93,453.00","61,128.00","32,325.00","74,600.00","42,300.00","32,300.00"
QUEENS,NY,"164,051.00","133,876.00","30,175.00",0.00,0.00,0.00
QUEENS,NY,"385,807.00","295,532.00","90,275.00",0.00,0.00,0.00
KINGS,NY,"90,977.00","75,017.00","15,960.00",0.00,0.00,0.00
NEW YORK,NY,"781,526.00","581,941.00","199,585.00","11,400.00",0.00,"11,400.00"
QUEENS,NY,"112,867,445.00","83,334,970.00","29,532,475.00","48,658,900.00","33,373,800.00","15,285,100.00"
QUEENS,NY,"236,897.00","187,187.00","49,710.00",0.00,0.00,0.00
NEW YORK,NY,"8,482.00","6,007.00","2,475.00","2,400.00",0.00,"2,400.00"
SUFFOLK,NY,"1,053,011.00","897,385.00","155,626.00","588,400.00","495,600.00","92,800.00"
WESTCHESTER,NY,"117,186.00","107,761.00","9,425.00","87,100.00","78,500.00","8,600.00"
QUEENS,NY,"5,375.00",0.00,"5,375.00","5,400.00",0.00,"5,400.00"
QUEENS,NY,"16,611.00","16,611.00",0.00,"16,500.00","16,500.00",0.00
SUFFOLK,NY,"124,561.00","115,061.00","9,500.00","104,500.00","95,000.00","9,500.00"
SUFFOLK,NY,"1,600,609.00","1,459,897.00","140,712.00","464,700.00","425,700.00","39,000.00"
KINGS,NY,"4,900.00",0.00,"4,900.00","4,900.00",0.00,"4,900.00"
QUEENS,NY,"18,000.00",0.00,"18,000.00",0.00,0.00,0.00
QUEENS,NY,"17,375.00",0.00,"17,375.00",0.00,0.00,0.00
NEW YORK,NY,"273,535.00","167,210.00","106,325.00","71,000.00","32,900.00","38,100.00"
QUEENS,NY,"49,684,164.00","34,997,592.00","14,686,572.00","26,963,600.00","18,226,900.00","8,736,700.00"
KINGS,NY,"24,000.00",0.00,"24,000.00",0.00,0.00,0.00
KINGS,NY,"10,900.00",0.00,"10,900.00","3,700.00",0.00,"3,700.00"
BRONX,NY,"2,750.00",0.00,"2,750.00","2,800.00",0.00,"2,800.00"
NEW YORK,NY,"1,900.00",0.00,"1,900.00",0.00,0.00,0.00
BRONX,NY,"16,280.00",0.00,"16,280.00",0.00,0.00,0.00
QUEENS,NY,"6,750.00",0.00,"6,750.00","6,800.00",0.00,"6,800.00"
BRONX,NY,"36,575.00",0.00,"36,575.00","20,700.00",0.00,"20,700.00"
BRONX,NY,"39,284.00","7,184.00","32,100.00",0.00,0.00,0.00
BRONX,NY,"89,410.00","59,310.00","30,100.00","26,700.00",0.00,"26,700.00"
BRONX,NY,"56,025.00",0.00,"56,025.00",0.00,0.00,0.00
BRONX,NY,"12,850.00",0.00,"12,850.00","5,300.00",0.00,"5,300.00"
BRONX,NY,"15,632.00","15,632.00",0.00,"9,100.00","9,100.00",0.00
BRONX,NY,"87,542.00","47,542.00","40,000.00","67,200.00","37,500.00","29,700.00"
BRONX,NY,"35,669.00","35,269.00",400.00,"29,900.00","29,900.00",0.00
BRONX,NY,"33,731.00","26,491.00","7,240.00","2,500.00",0.00,"2,500.00"
BRONX,NY,"23,977.00","7,077.00","16,900.00","6,900.00","6,900.00",0.00
BRONX,NY,"1,089,691.00","963,011.00","126,680.00","496,200.00","401,800.00","94,400.00"
BRONX,NY,"3,004,453.00","2,245,263.00","759,190.00","1,108,100.00","742,100.00","366,000.00"
BRONX,NY,"226,196.00","182,296.00","43,900.00","73,800.00","68,500.00","5,300.00"
BRONX,NY,"20,800.00",0.00,"20,800.00","1,100.00",0.00,"1,100.00"
BRONX,NY,"620,928.00","542,088.00","78,840.00","425,100.00","368,700.00","56,400.00"
KINGS,NY,"2,650.00",0.00,"2,650.00",0.00,0.00,0.00
BRONX,NY,"8,159.00","4,784.00","3,375.00","3,000.00",0.00,"3,000.00"
BRONX,NY,600.00,0.00,600.00,600.00,0.00,600.00
BRONX,NY,"22,273.00","13,848.00","8,425.00",0.00,0.00,0.00
BRONX,NY,"1,165,037.00","901,375.00","263,662.00","415,400.00","332,700.00","82,700.00"
NEW YORK,NY,"8,700.00",0.00,"8,700.00","8,700.00",0.00,"8,700.00"
BRONX,NY,"68,841.00","47,841.00","21,000.00","36,900.00","15,900.00","21,000.00"
WESTCHESTER,NY,"5,611.00","4,911.00",700.00,0.00,0.00,0.00
KINGS,NY,"148,178.00","117,728.00","30,450.00",0.00,0.00,0.00
SUFFOLK,NY,"1,179,026.00","911,901.00","267,125.00","646,100.00","454,000.00","192,100.00"
KINGS,NY,"20,075.00",0.00,"20,075.00","20,100.00",0.00,"20,100.00"
KINGS,NY,"31,950.00",0.00,"31,950.00",0.00,0.00,0.00
KINGS,NY,"53,123.00","20,648.00","32,475.00",0.00,0.00,0.00
KINGS,NY,"112,383.00","86,683.00","25,700.00",0.00,0.00,0.00
KINGS,NY,"20,925.00",0.00,"20,925.00",0.00,0.00,0.00
KINGS,NY,"11,678.00","7,178.00","4,500.00",0.00,0.00,0.00
KINGS,NY,"12,125.00",0.00,"12,125.00","12,200.00",0.00,"12,200.00"
KINGS,NY,"205,304.00","167,954.00","37,350.00","190,400.00","153,000.00","37,400.00"
KINGS,NY,"13,525.00",0.00,"13,525.00",0.00,0.00,0.00
NEW YORK,NY,"13,474.00","7,074.00","6,400.00",0.00,0.00,0.00
RICHMOND,NY,"74,080.00","52,780.00","21,300.00","18,700.00",0.00,"18,700.00"
KINGS,NY,"9,100.00",0.00,"9,100.00",0.00,0.00,0.00
KINGS,NY,"208,111.00","52,436.00","155,675.00","106,700.00","19,900.00","86,800.00"
KINGS,NY,"9,075.00",0.00,"9,075.00","5,000.00",0.00,"5,000.00"
KINGS,NY,"720,003.00","618,653.00","101,350.00","175,300.00","126,900.00","48,400.00"
NEW YORK,NY,"34,262.00","26,412.00","7,850.00",0.00,0.00,0.00
KINGS,NY,"37,966.00","8,641.00","29,325.00",0.00,0.00,0.00
KINGS,NY,"68,068.00","40,193.00","27,875.00",0.00,0.00,0.00
KINGS,NY,"148,026.00","91,951.00","56,075.00","49,400.00","28,300.00","21,100.00"
NEW YORK,NY,"22,271.00","20,171.00","2,100.00",0.00,0.00,0.00
KINGS,NY,"160,918.00","129,468.00","31,450.00","34,700.00","18,200.00","16,500.00"
KINGS,NY,"147,923.00","113,623.00","34,300.00","103,600.00","97,300.00","6,300.00"
KINGS,NY,"473,050.00","342,480.00","130,570.00","163,400.00","135,000.00","28,400.00"
KINGS,NY,"62,223.00","29,573.00","32,650.00",0.00,0.00,0.00
KINGS,NY,"209,063.00","154,538.00","54,525.00","22,400.00","7,500.00","14,900.00"
NEW YORK,NY,"13,750.00",0.00,"13,750.00",0.00,0.00,0.00
KINGS,NY,"108,920.00","74,320.00","34,600.00","84,500.00","61,500.00","23,000.00"
KINGS,NY,"3,953,723.00","2,392,308.00","1,561,415.00","1,508,600.00","877,100.00","631,500.00"
NEW YORK,NY,"104,300.00","77,900.00","26,400.00",0.00,0.00,0.00
KINGS,NY,"34,070.00",0.00,"34,070.00",0.00,0.00,0.00
KINGS,NY,"93,001.00","76,051.00","16,950.00","3,000.00",0.00,"3,000.00"
KINGS,NY,"312,045.00","250,420.00","61,625.00","198,300.00","151,100.00","47,200.00"
KINGS,NY,"32,883.00","32,121.00",762.00,"21,200.00","21,200.00",0.00
KINGS,NY,"7,950.00",0.00,"7,950.00","8,000.00",0.00,"8,000.00"
KINGS,NY,"247,630.00","178,985.00","68,645.00","86,000.00","53,700.00","32,300.00"
KINGS,NY,"485,273.00","470,048.00","15,225.00","250,700.00","239,600.00","11,100.00"
KINGS,NY,"153,591.00","62,526.00","91,065.00","61,400.00","29,600.00","31,800.00"
KINGS,NY,"3,605,262.00","2,002,510.00","1,602,752.00","1,275,100.00","678,400.00","596,700.00"
NASSAU,NY,"12,000.00",0.00,"12,000.00",0.00,0.00,0.00
RICHMOND,NY,"34,820.00","34,820.00",0.00,0.00,0.00,0.00
BRONX,NY,"3,000.00",0.00,"3,000.00",0.00,0.00,0.00
KINGS,NY,"57,467,852.00","35,062,685.00","22,405,167.00","21,489,400.00","12,182,800.00","9,306,600.00"
NASSAU,NY,"13,675.00",0.00,"13,675.00","13,700.00",0.00,"13,700.00"
NEW YORK,NY,"433,640.00","209,245.00","224,395.00","147,400.00","44,000.00","103,400.00"
QUEENS,NY,"132,265.00","63,165.00","69,100.00",0.00,0.00,0.00
RICHMOND,NY,"97,397.00","60,872.00","36,525.00",0.00,0.00,0.00
KINGS,NY,"100,054.00","69,454.00","30,600.00","15,400.00",0.00,"15,400.00"
KINGS,NY,"289,212.00","258,887.00","30,325.00","7,000.00",0.00,"7,000.00"
KINGS,NY,"185,170.00","126,190.00","58,980.00","83,900.00","35,500.00","48,400.00"
NASSAU,NY,"38,494.00","37,994.00",500.00,0.00,0.00,0.00
KINGS,NY,"55,101,668.00","34,683,951.00","20,417,717.00","25,647,100.00","15,182,772.47","10,464,327.53"
NEW YORK,NY,"71,904.00","43,254.00","28,650.00",0.00,0.00,0.00
KINGS,NY,"214,993.00","128,336.00","86,657.00","87,600.00","72,800.00","14,800.00"
KINGS,NY,"6,121,085.00","3,558,883.00","2,562,202.00","2,641,800.00","1,487,700.00","1,154,100.00"
NEW YORK,NY,"145,260.00","31,020.00","114,240.00","78,000.00","22,600.00","55,400.00"
KINGS,NY,"91,708.00","48,808.00","42,900.00","52,900.00","43,300.00","9,600.00"
KINGS,NY,"90,981.00","68,981.00","22,000.00","70,200.00","57,200.00","13,000.00"
KINGS,NY,"26,999,723.00","17,412,013.00","9,587,710.00","12,557,700.00","8,062,500.00","4,495,200.00"
NEW YORK,NY,"37,315.00",0.00,"37,315.00","15,700.00",0.00,"15,700.00"
QUEENS,NY,"6,950.00",0.00,"6,950.00","7,000.00",0.00,"7,000.00"
KINGS,NY,"92,271,573.00","55,429,489.00","36,842,084.00","33,439,400.00","19,944,100.00","13,495,300.00"
NEW YORK,NY,"732,092.00","393,100.00","338,992.00","31,500.00",0.00,"31,500.00"
QUEENS,NY,"25,000.00",0.00,"25,000.00",0.00,0.00,0.00
RICHMOND,NY,"8,650.00",0.00,"8,650.00","8,700.00",0.00,"8,700.00"
KINGS,NY,"66,683,432.00","40,019,910.00","26,663,522.00","25,656,500.00","14,757,900.00","10,898,600.00"
NEW YORK,NY,"690,024.00","373,727.00","316,297.00","213,600.00","114,800.00","98,800.00"
KINGS,NY,"7,575.00",0.00,"7,575.00","1,800.00",0.00,"1,800.00"
KINGS,NY,"22,375.00",0.00,"22,375.00",0.00,0.00,0.00
KINGS,NY,"9,125.00",0.00,"9,125.00","6,200.00",0.00,"6,200.00"
KINGS,NY,"121,132.00","80,732.00","40,400.00","120,700.00","80,700.00","40,000.00"
NASSAU,NY,"19,975.00",0.00,"19,975.00",0.00,0.00,0.00
QUEENS,NY,"29,900.00",0.00,"29,900.00",0.00,0.00,0.00
QUEENS,NY,"359,484.00","303,784.00","55,700.00",0.00,0.00,0.00
KINGS,NY,"22,800.00",0.00,"22,800.00","22,800.00",0.00,"22,800.00"
KINGS,NY,"39,731.00","26,991.00","12,740.00","29,800.00","17,100.00","12,700.00"
KINGS,NY,"54,650.00",0.00,"54,650.00","27,700.00",0.00,"27,700.00"
NASSAU,NY,"576,936.00","558,146.00","18,790.00","46,300.00","46,300.00",0.00
KINGS,NY,"52,787.00","38,732.00","14,055.00","36,900.00","26,600.00","10,300.00"
KINGS,NY,"135,678.00","81,178.00","54,500.00",0.00,0.00,0.00
KINGS,NY,"14,325.00",0.00,"14,325.00",0.00,0.00,0.00
KINGS,NY,"97,424.00","68,374.00","29,050.00","66,400.00","40,400.00","26,000.00"
KINGS,NY,"27,395.00","13,820.00","13,575.00",0.00,0.00,0.00
WESTCHESTER,NY,"17,206.00","5,406.00","11,800.00","17,300.00","5,500.00","11,800.00"
SUFFOLK,NY,"89,877.00","89,877.00",0.00,"83,400.00","83,400.00",0.00
QUEENS,NY,"234,544.00","205,544.00","29,000.00","80,200.00","74,700.00","5,500.00"
ORANGE,NY,"46,193.00","33,013.00","13,180.00","42,500.00","29,400.00","13,100.00"
SUFFOLK,NY,"343,290.00","277,515.00","65,775.00","21,300.00","3,900.00","17,400.00"
NASSAU,NY,"7,867.00","7,617.00",250.00,"2,600.00","2,600.00",0.00
PUTNAM,NY,"46,631.00","39,106.00","7,525.00","37,300.00","36,300.00","1,000.00"
NASSAU,NY,"21,029,293.00","13,611,035.00","7,418,258.00","8,027,800.00","5,292,600.00","2,735,200.00"
NASSAU,NY,"50,500.00","38,000.00","12,500.00",0.00,0.00,0.00
SUFFOLK,NY,"3,003,274.00","2,353,739.00","649,535.00","1,311,700.00","1,013,800.00","297,900.00"
SUFFOLK,NY,"277,245.00","267,045.00","10,200.00","37,100.00","37,000.00",100.00
SUFFOLK,NY,"271,434.00","252,059.00","19,375.00","57,500.00","38,100.00","19,400.00"
SUFFOLK,NY,"353,340.00","284,145.00","69,195.00","178,600.00","143,700.00","34,900.00"
WESTCHESTER,NY,"105,437.00","99,737.00","5,700.00","12,500.00","12,500.00",0.00
SUFFOLK,NY,"81,955.00","68,745.00","13,210.00","10,400.00","7,400.00","3,000.00"
ORANGE,NY,"69,036.00","65,936.00","3,100.00","60,400.00","57,800.00","2,600.00"
ROCKLAND,NY,"161,336.00","150,401.00","10,935.00","105,800.00","94,800.00","11,000.00"
ROCKLAND,NY,"4,000.00",0.00,"4,000.00",0.00,0.00,0.00
SUFFOLK,NY,"231,706.00","206,956.00","24,750.00","183,400.00","162,700.00","20,700.00"
PUTNAM,NY,"220,908.00","145,408.00","75,500.00","114,600.00","74,200.00","40,400.00"
SUFFOLK,NY,"117,345.00","114,345.00","3,000.00","61,700.00","58,700.00","3,000.00"
QUEENS,NY,"26,389.00","10,164.00","16,225.00","26,500.00","10,200.00","16,300.00"
SUFFOLK,NY,"731,470.00","639,200.00","92,270.00","170,400.00","166,500.00","3,900.00"
ROCKLAND,NY,"255,188.00","228,363.00","26,825.00","131,200.00","111,400.00","19,800.00"
SUFFOLK,NY,"16,550.00",0.00,"16,550.00","16,600.00",0.00,"16,600.00"
SUFFOLK,NY,"20,979,772.00","15,496,088.00","5,483,684.00","8,758,300.00","6,138,100.00","2,620,200.00"
SUFFOLK,NY,"278,625.00","231,325.00","47,300.00","170,500.00","136,900.00","33,600.00"
SUFFOLK,NY,"325,222.00","242,387.00","82,835.00","203,600.00","160,900.00","42,700.00"
QUEENS,NY,"140,783.00","115,308.00","25,475.00","14,000.00","14,000.00",0.00
WESTCHESTER,NY,"72,963.00","64,163.00","8,800.00","72,500.00","63,700.00","8,800.00"
WESTCHESTER,NY,"77,365.00","55,665.00","21,700.00","48,700.00","42,100.00","6,600.00"
WESTCHESTER,NY,"12,406.00","12,406.00",0.00,"5,500.00","5,500.00",0.00
SUFFOLK,NY,"1,076,310.00","961,973.00","114,337.00","468,700.00","452,200.00","16,500.00"
QUEENS,NY,"6,200.00",0.00,"6,200.00","6,200.00",0.00,"6,200.00"
SUFFOLK,NY,"226,461.00","220,861.00","5,600.00","107,300.00","105,300.00","2,000.00"
SUFFOLK,NY,"589,413.00","579,813.00","9,600.00","288,400.00","283,900.00","4,500.00"
QUEENS,NY,"17,900.00","17,900.00",0.00,0.00,0.00,0.00
QUEENS,NY,"135,471.00","114,911.00","20,560.00","111,400.00","91,100.00","20,300.00"
NASSAU,NY,"115,675.00","45,375.00","70,300.00","49,900.00","20,400.00","29,500.00"
NASSAU,NY,"26,680.00",0.00,"26,680.00","26,700.00",0.00,"26,700.00"
NASSAU,NY,"385,942.00","205,714.00","180,228.00","29,900.00","4,100.00","25,800.00"
SUFFOLK,NY,"122,237.00","76,437.00","45,800.00","114,100.00","74,100.00","40,000.00"
NASSAU,NY,"28,000.00",0.00,"28,000.00",0.00,0.00,0.00
NASSAU,NY,"304,082.00","165,777.00","138,305.00","84,600.00","41,800.00","42,800.00"
NASSAU,NY,"248,681.00","89,890.00","158,791.00","107,400.00","31,400.00","76,000.00"
SUFFOLK,NY,"11,678.00","10,803.00",875.00,"7,500.00","7,100.00",400.00
NASSAU,NY,"9,246,767.00","5,574,056.00","3,672,711.00","4,173,300.00","2,467,100.00","1,706,200.00"
QUEENS,NY,"69,313.00","47,938.00","21,375.00","35,900.00","27,100.00","8,800.00"
QUEENS,NY,"81,595.00","61,515.00","20,080.00",0.00,0.00,0.00
QUEENS,NY,"8,340.00",0.00,"8,340.00",0.00,0.00,0.00
SUFFOLK,NY,"686,686.00","623,321.00","63,365.00","173,800.00","173,800.00",0.00
NASSAU,NY,"3,480.00","3,480.00",0.00,0.00,0.00,0.00
SUFFOLK,NY,"1,409,197.00","1,260,555.00","148,642.00","436,200.00","419,000.00","17,200.00"
SUFFOLK,NY,"498,211.00","483,636.00","14,575.00","278,700.00","265,900.00","12,800.00"
NASSAU,NY,"29,720.00","26,220.00","3,500.00",0.00,0.00,0.00
NASSAU,NY,"474,083.00","448,958.00","25,125.00","279,100.00","269,800.00","9,300.00"
SUFFOLK,NY,"746,971.00","566,546.00","180,425.00","143,200.00","77,100.00","66,100.00"
SUFFOLK,NY,"542,252.00","507,357.00","34,895.00","302,300.00","283,100.00","19,200.00"
NASSAU,NY,"84,905.00","80,055.00","4,850.00","51,800.00","46,900.00","4,900.00"
SUFFOLK,NY,"1,426,310.00","1,131,655.00","294,655.00","632,200.00","474,000.00","158,200.00"
SUFFOLK,NY,"160,030.00","132,830.00","27,200.00","131,200.00","114,000.00","17,200.00"
SUFFOLK,NY,"2,271,049.00","1,859,034.00","412,015.00","615,500.00","487,600.00","127,900.00"
SUFFOLK,NY,"91,583.00","85,628.00","5,955.00",0.00,0.00,0.00
NASSAU,NY,"106,485.00","66,735.00","39,750.00","106,500.00","66,800.00","39,700.00"
NASSAU,NY,"49,746,028.00","33,110,577.00","16,635,451.00","20,577,400.00","12,941,400.00","7,626,600.00"
NEW YORK,NY,"169,762.00","101,777.00","67,985.00","49,300.00","9,300.00","40,000.00"
NASSAU,NY,"173,592.00","151,877.00","21,715.00","160,800.00","146,900.00","13,900.00"
NASSAU,NY,"106,373.00","59,723.00","46,650.00",0.00,0.00,0.00
NASSAU,NY,"232,601.00","184,301.00","48,300.00",0.00,0.00,0.00
NASSAU,NY,"17,475.00",0.00,"17,475.00",0.00,0.00,0.00
NASSAU,NY,"76,198.00","60,598.00","15,600.00","15,600.00",0.00,"15,600.00"
SUFFOLK,NY,"76,901.00","67,076.00","9,825.00","4,800.00",0.00,"4,800.00"
NASSAU,NY,"28,565.00","28,065.00",500.00,0.00,0.00,0.00
NASSAU,NY,"80,792.00","70,392.00","10,400.00","4,500.00","4,500.00",0.00
SUFFOLK,NY,"92,635.00","72,455.00","20,180.00",0.00,0.00,0.00
SUFFOLK,NY,"39,411.00","33,336.00","6,075.00","39,500.00","33,400.00","6,100.00"
NASSAU,NY,"133,563.00","73,363.00","60,200.00","25,500.00",0.00,"25,500.00"
QUEENS,NY,"135,592.00","89,867.00","45,725.00","123,400.00","84,900.00","38,500.00"
WESTCHESTER,NY,"14,642.00","14,642.00",0.00,"10,100.00","10,100.00",0.00
